"NWFSC_POP_ID","length_km","area_sq_km","ESAPOPNAME"
3,73.7368486796209,824.365505811479,"Salmon, Chinook (Lower Columbia River ESU) Cispus River - spring"
6,60.1260985959593,371.095593704064,"Salmon, Chinook (Lower Columbia River ESU) Coweeman River - fall"
7,59.9939510607103,406.944572254099,"Salmon, Chinook (Lower Columbia River ESU) Elochoman River - fall"
8,103.099622004635,481.761854537271,"Salmon, Chinook (Lower Columbia River ESU) Grays and Chinook Rivers - fall"
11,17.2110315242645,563.193065795499,"Salmon, Chinook (Lower Columbia River ESU) Kalama River - fall"
12,78.6509777916856,563.193065795499,"Salmon, Chinook (Lower Columbia River ESU) Kalama River - spring"
14,130.156216855217,2798.78109952019,"Salmon, Chinook (Lower Columbia River ESU) Lewis River - fall"
13,130.156216855217,2798.78109952019,"Salmon, Chinook (Lower Columbia River ESU) Lewis River - late fall"
15,221.301845152167,4439.2639507211,"Salmon, Chinook (Lower Columbia River ESU) Lower Cowlitz River - fall"
16,9.07084277005589,517.999326362263,"Salmon, Chinook (Lower Columbia River ESU) Lower Gorge Tributaries - fall"
17,79.1117774258568,376.917641949377,"Salmon, Chinook (Lower Columbia River ESU) Mill, Abernathy, and Germany Creeks - fall"
18,222.973201734636,2212.19820609411,"Salmon, Chinook (Lower Columbia River ESU) North Fork Lewis River - spring"
19,63.977601116075,453.035902852722,"Salmon, Chinook (Lower Columbia River ESU) Salmon Creek - fall"
24,43.9210998072149,415.748647698987,"Salmon, Chinook (Lower Columbia River ESU) Tilton River - spring"
25,157.620889424685,1187.22774198855,"Salmon, Chinook (Lower Columbia River ESU) Toutle River - fall"
26,150.270927796721,1187.22774198855,"Salmon, Chinook (Lower Columbia River ESU) Toutle River - spring"
27,37.5986140815761,3289.24372702463,"Salmon, Chinook (Lower Columbia River ESU) Upper Cowlitz River - fall"
28,159.646839994398,2049.12957348675,"Salmon, Chinook (Lower Columbia River ESU) Upper Cowlitz River - spring"
29,13.3360846191201,1055.02987634179,"Salmon, Chinook (Lower Columbia River ESU) Upper Gorge Tributaries - fall"
30,45.2027567350245,578.135997535959,"Salmon, Chinook (Lower Columbia River ESU) Washougal River - fall"
31,5.28498349014099,1012.57907195723,"Salmon, Chinook (Lower Columbia River ESU) White Salmon River - fall"
32,30.6958878318643,1012.57907195723,"Salmon, Chinook (Lower Columbia River ESU) White Salmon River - spring"
